"ActivityType" "subID" "ActivityID" "BodyAccelerationMeanX" "BodyAccelerationMeanY" "BodyAccelerationMeanZ" "BodyAccelerationstdX" "BodyAccelerationstdY" "BodyAccelerationstdZ" "GravityAccelerationMeanX" "GravityAccelerationMeanY" "GravityAccelerationMeanZ" "GravityAccelerationstdX" "GravityAccelerationstdY" "GravityAccelerationstdZ" "BodyGyroscopeMeanX" "BodyGyroscopeMeanY" "BodyGyroscopeMeanZ" "BodyGyroscopestdX" "BodyGyroscopestdY" "BodyGyroscopestdZ" "BodyAccelerationMagnitudeMean" "BodyAccelerationMagnitudestd" "GravityAccelerationMagnitudeMean" "GravityAccelerationMagnitudestd" "BodyGyroscopeMagnitudeMean" "BodyGyroscopeMagnitudestd" "BodyAccelerationMeanFrequencyX" "BodyAccelerationMeanFrequencyY" "BodyAccelerationMeanFrequencyZ" "BodyGyroscopeMeanFrequencyX" "BodyGyroscopeMeanFrequencyY" "BodyGyroscopeMeanFrequencyZ" "BodyAccelerationMagnitudeMeanFrequency" "BodyGyroscopeMagnitudeMeanFrequency"
"1" "LAYING" 1 6 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.874759548 -0.81901016976 -0.158792670508 0.097534841586 0.08943765522 -0.003546795856 -0.091529130882 0.01045812566 0.08640856294 -0.1397750127
"2" "LAYING" 2 6 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.950011569583333 -0.961164053958333 -0.146482792591667 0.2572894655 0.402532553395833 0.10261131938125 0.04228066839375 0.0552985986479167 0.2662982125 0.01856447223125
"3" "LAYING" 3 6 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.982776639193548 -0.962057544516129 -0.96369103483871 -0.241758478064516 0.837032099677419 0.48870318516129 -0.982512193064516 -0.981202749677419 -0.964807543870968 -0.0208170540330645 -0.0718507159435484 0.137999561112903 -0.974545752096774 -0.977272653709677 -0.963505609032258 -0.972791346129032 -0.964218176451613 -0.972791346129032 -0.964218176451613 -0.951564751451613 -0.954275110967742 -0.0739526439887097 0.238470751435484 0.216971671672581 -0.0822166454290323 -0.0266820108903226 0.147686455548065 0.236990127870968 -0.0229296114693548
"4" "LAYING" 4 6 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.954193738888889 -0.941714042407407 -0.962667314814815 -0.420664662222222 0.915165104259259 0.341531310555556 -0.921199965925926 -0.969816635740741 -0.976176608888889 -0.00923156347222222 -0.0930128180759259 0.169720404092593 -0.973102422222222 -0.961109291851852 -0.962073755 -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.930236462592593 -0.947031781666667 -0.274194618766667 0.366231448994444 0.201329591976111 -0.0660921823944444 -0.526889995562963 0.152886311603704 0.241697899814815 -0.259851969798148
"5" "LAYING" 5 6 0.278334325576923 -0.0183042123269231 -0.107937603673077 -0.965934509615385 -0.969295613269231 -0.968562516346154 -0.483470597692308 0.954890346153846 0.263644691923077 -0.945695336153846 -0.985964053846154 -0.977076645 -0.0218935013501923 -0.0798709596153846 0.159894366942308 -0.979498706538461 -0.977427370576923 -0.960583776923077 -0.966777882884615 -0.958612786346154 -0.966777882884615 -0.958612786346154 -0.946938300576923 -0.958287921923077 -0.135632454076923 0.466528231788462 0.132310871284615 -0.0227235857115385 0.06812484775 0.0413600281009615 0.292032094967308 0.102441765923077
"6" "LAYING" 6 6 0.248656520140351 -0.0102529170561404 -0.133119570368421 -0.934049422052632 -0.924644826385965 -0.925216100350877 -0.47670987877193 0.956593814210526 0.175867709021053 -0.887746310350877 -0.959161956491228 -0.928130738421053 -0.0079605026754386 -0.107218315054386 0.179102058245614 -0.955378225087719 -0.943634949473684 -0.939141878596491 -0.918878850824561 -0.897326245964912 -0.918878850824561 -0.897326245964912 -0.908980174736842 -0.920914497017544 -0.219729934157895 0.348418746140351 0.161457927833333 0.102549066280877 0.0236567802333333 0.0445225537614035 0.1446050868 0.119317522942105
"7" "LAYING" 7 6 0.250176694038462 -0.0204411516884615 -0.101361036576923 -0.93651361 -0.926262668653846 -0.952978365961539 -0.502814250576923 0.393444278076923 0.907537823461538 -0.914221270096154 -0.955543549230769 -0.961908984423077 -0.00282641913096154 -0.133605695057692 0.155920029769231 -0.9601268225 -0.945071935384615 -0.955294890576923 -0.936392023846154 -0.907039513153846 -0.936392023846154 -0.907039513153846 -0.915793634807692 -0.918662459038462 -0.635913046346154 -0.0438292665807692 0.237111987323077 -0.139745225083077 -0.453725644769231 0.0144682871075 -0.129091025169231 -0.265784491092308
"8" "LAYING" 8 6 0.261254282907407 -0.0212281733881481 -0.102245365611111 -0.94304121537037 -0.93489116 -0.932491454407407 -0.405930036111111 0.589922434814815 0.719831539259259 -0.918873192333333 -0.957990036481482 -0.94183626337037 0.00535361206851852 -0.0891374138592593 0.13818830737037 -0.965204017592593 -0.952039385740741 -0.96758975462963 -0.935308633888889 -0.91325033 -0.935308633888889 -0.91325033 -0.924253348518518 -0.932470764444444 -0.307248374366667 0.00539754357407408 0.192435787087778 -0.105590903972222 -0.199880205519074 0.213568382200185 0.0484988463518519 -0.0620563752462963
"9" "LAYING" 9 6 0.2591955368 -0.020526821662 -0.10754972144 -0.94233309 -0.9162927764 -0.9407072854 -0.5802528348 -0.1191541962 0.9578730416 -0.9218210626 -0.9699944882 -0.9712046902 -0.013632036148 -0.15890291983 0.101275010682 -0.9422465098 -0.9266185314 -0.9615953704 -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9071250998 -0.8985578738 -0.4459627774628 -0.215336752654 0.17810728092 -0.23069917904112 -0.321206958058 -0.055125413678 -0.085609052452 -0.20634356866
"10" "LAYING" 10 6 0.280230574137931 -0.024294484137931 -0.117168642362069 -0.968283685 -0.946454302068966 -0.95947148637931 -0.453069737586207 -0.139297681034483 -0.031121624137931 -0.954531941896552 -0.966701156034483 -0.963045642431035 -0.019555937162069 -0.0770325657265517 0.104720478344828 -0.961713199827586 -0.953660207586207 -0.971940597413793 -0.956781819655172 -0.940301654482759 -0.956781819655172 -0.940301654482759 -0.937590998793103 -0.927471165517241 -0.14052022862069 0.200554088396552 0.317328874567241 0.0707575751344828 0.0713125646482759 0.157620505460345 0.260388946262069 0.216535434472414
"11" "LAYING" 11 6 0.280592970877193 -0.0176598052315789 -0.108786578070175 -0.98477733 -0.972196873859649 -0.971311176842105 -0.134832031403509 0.943017941403509 0.112620189964912 -0.97956560245614 -0.990765579649123 -0.984192606315789 -0.0191743840136842 -0.041559989822807 0.152019015929825 -0.980836884561403 -0.982442644035088 -0.959897432807018 -0.980621180175439 -0.972891829473684 -0.980621180175439 -0.972891829473684 -0.952523752105263 -0.954713182807018 -0.0637709766210526 0.251945472245614 0.22603584097193 0.00610819990350877 0.104942477754386 0.0963568933754386 0.336010660578947 0.0406004062738596
"12" "LAYING" 12 6 0.260113433 -0.0175203917146667 -0.108160125666667 -0.95531868 -0.949072009333333 -0.9483338435 -0.3785920653 0.8033788345 0.2750431984 -0.936458309333333 -0.974396492666667 -0.9596439555 -0.0146546807316667 -0.0835537350333333 0.14519184795 -0.966090742 -0.953873893833333 -0.950157442166667 -0.9482046755 -0.936542686833333 -0.9482046755 -0.936542686833333 -0.9308405935 -0.935725715833333 -0.235607185033333 0.19137270056 0.171474000866667 0.010569757505 -0.0199866541433333 0.0419799361083333 0.0818083852738333 0.00220615496116666
"13" "LAYING" 13 6 0.276716360483871 -0.020440454366129 -0.104331864532258 -0.968891989354839 -0.950947949516129 -0.950392995483871 -0.156852206467742 0.656400944354839 0.598884988709677 -0.957875244677419 -0.975948136290323 -0.959892863709677 -0.00973609968045161 -0.0966250701451613 0.117819614790323 -0.972143470322581 -0.96270462 -0.967350513709677 -0.960517768225806 -0.947944746612903 -0.960517768225806 -0.947944746612903 -0.944303111935484 -0.944687480967742 -0.262990626162903 0.0363424960967742 0.0764724259225806 -0.101926540451613 -0.042663103 0.14650938193871 0.0815111222612903 0.050207734033871
"14" "LAYING" 14 6 0.233275439803922 -0.0113424652490196 -0.0868333315509804 -0.917501887333333 -0.909697040980392 -0.900331921686275 -0.145483631627451 0.48539692745098 0.83656291 -0.862136937254902 -0.94877486372549 -0.90130385627451 0.00505221181607843 -0.153423807745098 0.149124058235294 -0.957221015098039 -0.932499780588235 -0.952296965294118 -0.905978250196078 -0.856593119215686 -0.905978250196078 -0.856593119215686 -0.904665418431373 -0.913433185882353 -0.442950364647059 -0.149752054909804 0.0313442249705882 -0.236882321219608 -0.277833948752941 0.023333252745098 -0.131771172645098 -0.190837039343137
